"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","In stock?","Stock","Regular price","Sale price","Categories","Images"
"simple","MK-1000","یخچال فریزر ساید بای ساید سامسونگ RS68","1","1","visible","یخچال ساید بای ساید با تکنولوژی No Frost و آبسردکن.","یخچال ساید بای ساید با تکنولوژی No Frost و آبسردکن. حجم ۶۱۷ لیتر، رنگ استیل، گارانتی ۲۴ ماه. برند Samsung. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","14","89900000","78500000","لوازم خانگی بزرگ","https://images.unsplash.com/photo-1571175443880-49e1d25b2bc5?w=1000&q=80"
"simple","MK-1001","ماشین لباسشویی ال‌جی 9 کیلویی سری F4","1","1","visible","موتور Direct Drive، ظرفیت ۹ کیلوگرم، دور ۱۴۰۰، رنگ سفید، گارانتی ۱۸ ماه.","موتور Direct Drive، ظرفیت ۹ کیلوگرم، دور ۱۴۰۰، رنگ سفید، گارانتی ۱۸ ماه. برند LG. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","22","47000000","42300000","لوازم خانگی بزرگ","https://images.unsplash.com/photo-1626806787461-102c1bfaaea1?w=1000&q=80"
"simple","MK-1002","ماشین ظرفشویی بوش سری 6 - 14 نفره","1","1","visible","ظرفشویی آلمانی با مصرف انرژی A+++، ظرفیت ۱۴ نفره، ۸ برنامه، گارانتی ۲۴ ماه.","ظرفشویی آلمانی با مصرف انرژی A+++، ظرفیت ۱۴ نفره، ۸ برنامه، گارانتی ۲۴ ماه. برند Bosch. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","9","51900000","","لوازم خانگی بزرگ","https://images.unsplash.com/photo-1585659722983-3a675dabf23d?w=1000&q=80"
"simple","MK-1003","مایکروویو پاناسونیک 32 لیتری اینورتر","1","0","visible","مایکروویو با تکنولوژی اینورتر و گریل، حجم ۳۲ لیتر، توان ۱۰۰۰ وات، گارانتی ۱۲ ماه.","مایکروویو با تکنولوژی اینورتر و گریل، حجم ۳۲ لیتر، توان ۱۰۰۰ وات، گارانتی ۱۲ ماه. برند Panasonic. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","30","16500000","14800000","آشپزخانه","https://images.unsplash.com/photo-1574269909862-7e1d70bb8078?w=1000&q=80"
"simple","MK-1004","سرخ‌کن بدون روغن فیلیپس Airfryer XXL","1","1","visible","سرخ‌کن هوای داغ با ظرفیت خانواده ۷.","سرخ‌کن هوای داغ با ظرفیت خانواده ۷.۳ لیتر، توان ۲۲۲۵ وات، گارانتی ۱۸ ماه. برند Philips. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","48","11200000","9700000","آشپزخانه","https://images.unsplash.com/photo-1626074353765-517a681e40be?w=1000&q=80"
"simple","MK-1005","مخلوط‌کن و غذاساز کنوود سری Chef","1","0","visible","غذاساز همه‌کاره با کاسه استیل ۴.","غذاساز همه‌کاره با کاسه استیل ۴.۶ لیتری، توان ۱۰۰۰ وات، ۵ متعلقات، گارانتی ۲۴ ماه. برند Kenwood. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","17","18900000","","آشپزخانه","https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=1000&q=80"
"simple","MK-1006","اسپرسوساز دلونگی Dedica EC685","1","0","visible","اسپرسوساز باریک با فشار ۱۵ بار، مخزن ۱.","اسپرسوساز باریک با فشار ۱۵ بار، مخزن ۱.۱ لیتر، رنگ نقره‌ای، گارانتی ۱۲ ماه. برند DeLonghi. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","12","24000000","21500000","آشپزخانه","https://images.unsplash.com/photo-1517256064527-09c73fc73e38?w=1000&q=80"
"simple","MK-1007","کولر گازی اینورتر گری 18000 سرد و گرم","1","1","visible","کولر گازی اینورتر سرد و گرم با گاز R410a، ظرفیت ۱۸۰۰۰، کلاس انرژی A، گارانتی ۳۶ ماه.","کولر گازی اینورتر سرد و گرم با گاز R410a، ظرفیت ۱۸۰۰۰، کلاس انرژی A، گارانتی ۳۶ ماه. برند Gree. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","7","36800000","","تهویه و سرمایش","https://images.unsplash.com/photo-1631545806609-c2b999c5b5a8?w=1000&q=80"
"simple","MK-1008","تصفیه هوا شیائومی Air Purifier 4 Pro","1","0","visible","تصفیه هوای هوشمند با فیلتر HEPA H13 و نمایشگر، پوشش ۶۰ متر مربع، WiFi، گارانتی ۱۲ ماه.","تصفیه هوای هوشمند با فیلتر HEPA H13 و نمایشگر، پوشش ۶۰ متر مربع، WiFi، گارانتی ۱۲ ماه. برند Xiaomi. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","26","13900000","12300000","تهویه و سرمایش","https://images.unsplash.com/photo-1626436819821-d2edd5fee674?w=1000&q=80"
"simple","MK-1009","جاروبرقی رباتیک آی‌روبات Roomba i7","1","1","visible","جارو رباتیک با نقشه‌برداری هوشمند، باتری ۷۵ دقیقه، اتصال WiFi و اپلیکیشن، گارانتی ۱۲ ماه.","جارو رباتیک با نقشه‌برداری هوشمند، باتری ۷۵ دقیقه، اتصال WiFi و اپلیکیشن، گارانتی ۱۲ ماه. برند iRobot. کالای اصل با ضمانت اصالت و گارانتی معتبر، ارسال سریع به سراسر کشور.","1","11","38000000","33500000","جاروبرقی و نظافت","https://images.unsplash.com/photo-1603618000050-d9d4b6a6e5b5?w=1000&q=80"
